"Total Number of Words Containing and Related to ""[Kk]reis"" in Whole Text",
Occurrences,Term
13,kreise
12,kreislauf
11,kreis
4,kreisen
3,kreisten
3,kreisend
3,geltungskreis
3,erdkreises
2,zeitkreis
2,pflichtenkreis
2,mannigfaltigkeitskreis
2,kreises
2,erdkreis
2,aufgabenkreises
1,wasserkreise
1,wahrheitskreis
1,unheilkreis
1,umkreis
1,umkehrungskreis
1,strahlenkreise
1,sternkreise
1,sprachkreis
1,sinnbildkreis
1,schicksalskreis
1,satzkreise
1,nachtkreis
1,lichtkreis
1,kreisung
1,kreiste
1,kreist
1,kreisrunden
1,kreisgleichgewicht
1,kreisenden
1,kreischend
1,kreisbahn
1,helligkeitskreis
1,fÃ¤cherhalbkreis
1,eingekreist
1,bilderkreises
1,bilderkreis
1,aufgabenkreis
1,allkreises
92,TOTAL (Tm)
